id,sentiment,text
681448150,neutral,userMentionToken what userMentionToken said.
681448153,positive,userMentionToken plus you've added commercials to the experience... tacky.
681448156,neutral,userMentionToken i didn't today... must mean i need to take another trip!
681448158,negative,"userMentionToken it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
681448159,negative,userMentionToken and it's a really big bad thing about it
681448162,negative,userMentionToken seriously would pay $30 a flight for seats that didn't have this playing. it's really the only bad thing about flying va
681448165,positive,"userMentionToken yes, nearly every time i fly vx this ear worm won t go away :)"
681448167,neutral,"userMentionToken really missed a prime opportunity for men without hats parody, there. urlToken"
681448169,positive,"userMentionToken well, i didn't but now i do! :)"
681448171,positive,"userMentionToken it was amazing, and arrived an hour early. you're too good to me."
681448174,neutral,userMentionToken did you know that suicide is the second leading cause of death among teens 10-24
681448176,positive,userMentionToken i &lt;3 pretty graphics. so much better than minimal iconography. :)
681448178,positive,userMentionToken this is such a great deal! already thinking about my 2nd trip to userMentionToken &amp; i haven't even gone on my 1st trip yet! ;p
681448181,positive,userMentionToken userMentionToken i'm flying your fabulous seductive skies again! u take all the stress away from travel urlToken
681448182,positive,userMentionToken thanks!
681448184,negative,userMentionToken sfo-pdx schedule is still mia.
681448186,positive,userMentionToken so excited for my first cross country flight lax to mco i've heard nothing but great things about virgin america. 29daystogo
681448188,negative,userMentionToken i flew from nyc to sfo last week and couldn't fully sit in my seat due to two large gentleman on either side of me. help!
681448190,positive,i flying userMentionToken
681448192,positive,userMentionToken you know what would be amazingly awesome? bos-fll please!!!!!!! i want to fly with only you.
681448194,negative,userMentionToken why are your first fares in may over three times more than other carriers when all seats are available to select???
681448197,positive,userMentionToken i love this graphic. urlToken
681448199,positive,userMentionToken i love the hipster innovation. you are a feel good brand.
681448201,neutral,userMentionToken will you be making bos&gt;las non stop permanently anytime soon?
681448204,negative,userMentionToken you guys messed up my seating.. i reserved seating with my friends and you guys gave my seat away ... i want free internet
681448206,negative,userMentionToken status match program. i applied and it's been three weeks. called and emailed with no response.
681448208,negative,userMentionToken what happened 2 ur vegan food options?! at least say on ur site so i know i won't be able 2 eat anything for next 6 hrs fail
681448211,neutral,userMentionToken do you miss me? don't worry we'll be together very soon.
681448213,negative,userMentionToken amazing to me that we can't get any cold air from the vents. vx358 noair worstflightever roasted sfotobos
681448214,neutral,userMentionToken lax to ewr - middle seat on a red eye. such a noob maneuver. sendambien andchexmix
681448218,negative,"userMentionToken hi! i just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during flight booking problems"
681448221,neutral,userMentionToken are the hours of operation for the club at sfo that are posted online current?
681448223,negative,"userMentionToken help, left expensive headphones on flight 89 iad to lax today. seat 2a. no one answering l&amp;f number at lax!"
681448225,negative,"userMentionToken awaiting my return phone call, just would prefer to use your online self-service option :("
681448228,positive,userMentionToken this is great news! america could start flights to hawaii by end of year urlToken via userMentionToken
681448230,neutral,nice userMentionToken vibe with the moodlight from takeoff to touchdown. moodlitmonday sciencebehindtheexperience urlToken
681448235,positive,userMentionToken moodlighting is the only way to fly! best experience ever! cool and calming. moodlitmonday
681448239,positive,"userMentionToken userMentionToken done and done! best airline around, hands down!"
681448241,neutral,userMentionToken when can i book my flight to hawaii??
681448243,negative,userMentionToken your chat support is not working on your site: urlToken
681448245,positive,"userMentionToken view of downtown los angeles, the hollywood sign, and beyond that rain in the mountains! urlToken"
681448247,negative,"userMentionToken hey, first time flyer next week - excited! but i'm having a hard time getting my flights added to my elevate account. help?"
681448249,neutral,userMentionToken plz help me win my bid upgrade for my flight 2/27 lax---&gt;sea!!!
681448251,neutral,userMentionToken i have an unused ticket but moved to a new city where you don't fly. how can i fly with you before it expires? travelhelp
681448254,neutral,userMentionToken are flights leaving dallas for seattle on time feb 24?
681448256,positive,userMentionToken i'm elevategold for a good reason: you rock!!
681448258,neutral,userMentionToken dream urlToken urlToken
681448260,positive,userMentionToken wow this just blew my mind
681448262,neutral,userMentionToken userMentionToken userMentionToken after last night tribute soundofmusic oscars2015 userMentionToken i think userMentionToken agree
681448264,neutral,userMentionToken userMentionToken userMentionToken all were entertaining
681448265,neutral,"userMentionToken is flight 769 on it's way? was supposed to take off 30 minutes ago. website still shows ""on time"" not ""in flight"". thanks."
681448267,positive,userMentionToken userMentionToken userMentionToken julie andrews all the way though userMentionToken was very impressive! no to userMentionToken
681448269,neutral,userMentionToken wish you flew out of atlanta... soon?
681448271,neutral,userMentionToken userMentionToken userMentionToken julie andrews. hands down.
681448273,neutral,userMentionToken will flights be leaving dallas for la on february 24th?
681448275,negative,userMentionToken hi! i'm so excited about your $99 lga-&gt;dal deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
681448278,positive,userMentionToken you know it. need it on my spotify stat guiltypleasures
681448280,positive,userMentionToken userMentionToken userMentionToken i'm lady gaga!!! she is amazing!
681448282,neutral,userMentionToken userMentionToken userMentionToken - carrie!
681448284,neutral,userMentionToken new marketing song? urlToken let us know what you think?
681448288,neutral,userMentionToken userMentionToken userMentionToken julie andrews first but lady gaga wow'd me last night. carrie? meh.
681448290,negative,userMentionToken i called a 3-4 weeks ago about adding 3 flights from 2014 to my elevate...they still haven't shown up...help!
681448292,neutral,"userMentionToken userMentionToken userMentionToken all are great , but i have to go with carrieunderwood"
681448295,neutral,"userMentionToken userMentionToken userMentionToken sorry, mary martin had it first!"
681448297,positive,userMentionToken userMentionToken userMentionToken love all three but you really can't beat the classics!
681448299,neutral,userMentionToken flight 0736 dal to dca 2/24 2:10pm. tried to check in could not. status please.
681448302,negative,userMentionToken heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
681448303,negative,"userMentionToken hi, virgin! i'm on hold for 40-50 minutes -- are there any earlier flights from la to nyc tonight; earlier than 11:50pm?"
681448306,positive,userMentionToken congrats on winning the userMentionToken award for best deals from an airline (us) urlToken
681448308,negative,userMentionToken everything was fine until you lost my bag
681448310,neutral,userMentionToken need to change reservation. have virgin credit card. do i need to modify on phone to waive change fee? or can i do online?
681448312,neutral,userMentionToken i emailed your customer service team. let me know if you need the tracking number.
681448314,neutral,"userMentionToken hi i just booked a flight but need to add baggage, how can i do this?"
681448317,negative,userMentionToken your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? urlToken
681448319,positive,"userMentionToken not worried, it's been a great ride in a new plane with great crew. all airlines should be like this."
681448320,positive,userMentionToken awesome. i flew yall sat morning. any way we can correct my bill ?
681448321,neutral,"userMentionToken or watch some of the best student films in the country at 35,000 feet! cmfat35000feet urlToken"
681448322,neutral,userMentionToken first time flying you all. do you have a different rate/policy for media bags? thanks
681448324,negative,userMentionToken what is going on with customer service? is there anyway to speak to a human asap? thank you.
681448326,neutral,userMentionToken what happened to doom?!
681448329,negative,userMentionToken why can't you supp the biz traveler like userMentionToken and have customer service like userMentionToken neverflyvirginforbusiness
681448331,positive,userMentionToken i've applied more then once to be a member of the inflight crew team...im 100% interested. flightattendant dreampath -g
681448334,negative,userMentionToken you're the best!! whenever i (begrudgingly) use any other airline i'm delayed and late flight :(
681448336,negative,userMentionToken i have no interesting flying with you after this. i will cancelled flight my next four flights i planned. neverflyvirginforbusiness
681448338,negative,userMentionToken it was a disappointing experience which will be shared with every business traveler i meet. neverflyvirgin
681448340,negative,userMentionToken i m having trouble adding this flight my wife booked to my elevate account. help? urlToken
681448342,neutral,userMentionToken can't bring up my reservation online using flight booking problems code
681448345,neutral,userMentionToken random q: what's the distribution of elevate avatars? i bet that kitty has a disproportionate share urlToken
681448347,neutral,userMentionToken i &lt;3 flying va but life happens and i am trying to change my trip jperhi can you help.va home page will not let me ?
681448349,negative,userMentionToken why is the site down? when will it be back up?
681448353,neutral,"userMentionToken ""you down with rnp?"" ""yeah you know me!"
681448355,neutral,"userMentionToken hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
681448358,negative,userMentionToken i like the tv and interesting video . just disappointed in cancelled flightled flight when other flights went out to jfk on saturday .
681448360,negative,"userMentionToken just landed in lax, an hour after i should of been here. your no late flight bag check is not business travel friendly nomorevirgin"
681448362,neutral,userMentionToken why is flight 345 redirected?
681448364,negative,"userMentionToken is it me, or is your website down? btw, your new website isn't a great user experience. time for another redesign."
681448366,negative,userMentionToken i can't check in or add a bag. your website isn't working. i've tried both desktop and mobile urlToken
681448369,negative,userMentionToken - let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? uncomfortable
681448371,negative,userMentionToken what is your phone number. i can't find who to call about a flight reservation.
681448373,negative,userMentionToken is anyone doing anything there today? website is useless and no one is answering the phone.
681448376,neutral,userMentionToken trying to add my boy prince to my ressie. sf this thursday userMentionToken from lax urlToken
681448377,negative,userMentionToken why must a traveler miss a flight to late flight check a bag? i missed my morning appointments and you lost my business. sfo2lax
